PSR name	MJD	err	Δν/ν(10-9)	Error(10-9)	Catalogue
J1452-6036	57115	6	0.13	0.03	JBO
J1524-5625	55745	7	2977	0.7	JBO
B1508+55	41732	58	0.2	0.1	JBO
B1530+27	49732	3	0.29	0.04	JBO
J1531-5610	51731	51	2637	11	JBO
B1535-56	48165	15	2793	1	JBO
B1610-50	49803	16	6460	80	JBO
B1610-50	53013	24	6242	37	JBO
B1610-50	55734	2	4098	3	JBO
B1610-50	56443	11	5949	9	JBO
J1617-5055	46960	760	600	5	JBO
J1617-5055	54747	7	334	3	JBO
J1617-5055	55164	9	11	2	JBO
J1617-5055	55316	6	68	2	JBO
J1617-5055	55873	11	55	2	JBO
J1617-5055	56267	6	2068	2	JBO
J1635-2614	56472	3	0.71	0.03	JBO
B1641-45	43390	63	191	1	JBO
B1641-45	46453	35	803.6	0.1	JBO
B1641-45	47589	4	1.61	0.04	JBO
B1641-45	56600	14	717.4	0.3	JBO
B1643-43	53876	73	885	5	JBO
B1643-43	55288	7	8591	6	JBO
CXO_J164710.2-455216	53999	X	65000	3000	JBO
J1650-4502	57778	8	12767	2	JBO
J1702-4128	57719	6	3090	1	JBO
J1702-4310	53943	169	4810	104	JBO
J1702-4310	57510	10	3129	4	JBO
B1702-19	48902	1	0.4	0.1	JBO
B1702-19	55171	3	0.28	0.03	JBO
B1702-19	55955	1	0.3	0.03	JBO
B1702-19	57954	10	0.18	0.05	JBO
J1705-3423	51956	1	0.59	0.04	JBO
J1705-3423	54408	2	0.57	0.04	JBO
J1705-3423	55503	1	0.6	0.1	JBO
B1706-44	48775	15	2057	2	JBO
B1706-44	51488	37	1167	17	JBO
B1706-44	52716	57	2872	26	JBO
B1706-44	54710	22	2749.7	0.1	JBO
B1706-44	58176	6	52.4	0.1	JBO
1RXS_J1708-4009	51445	X	561	33	JBO
1RXS_J1708-4009	52016	X	4202	44	JBO
1RXS_J1708-4009	52990	X	308	44	JBO
1RXS_J1708-4009	53366	X	572	66	JBO
1RXS_J1708-4009	53549	X	2707	99	JBO
1RXS_J1708-4009	53636	X	737	33	JBO
J1709-3950	58236	14	9331	6	JBO
B1717-16	51169	1	1.5	0.2	JBO
J1718-3825	54911	2	1.94	0.03	JBO
J1718-3825	57950	7	7.1	0.1	JBO
B1718-35	49971	2	7.5	0.3	JBO
J1718-3718	54610	244	33250	10	JBO
B1727-33	48000	10	3033	8	JBO
B1727-33	52107	19	3202	1	JBO
B1727-33	55908	30	2254	1	JBO
B1727-33	58398	1	5.9	0.5	JBO
B1727-47	49387.2	0.1	137	1	JBO
B1727-47	50718.1	0.1	4.4	0.2	JBO
B1727-47	52472.7	0.02	126.4	0.3	JBO
B1727-47	53582	6	2.7	0.1	JBO
B1727-47	56975	8	6.4	0.3	JBO
B1727-47	57984	20	3147.7	0.1	JBO
J1730-3353	54004	1	68.9	0.7	JBO
J1734-3333	56340	4	90	10	JBO
J1734-3333	58944	8	24	1	JBO
B1736-29	46965	1	3.3	0.2	JBO
B1737-30	46991	19	421	4	JBO
B1737-30	47289	7	31	5	JBO
B1737-30	47337	27	7	4	JBO
B1737-30	47466	8	26	2	JBO
B1737-30	47670.22	0.01	600	1	JBO
B1737-30	48158	1	10	1	JBO
B1737-30	48191.69	0	659	7	JBO
B1737-30	48218	2	48	10	JBO
B1737-30	48431.3	0.4	16	2	JBO
B1737-30	49047.5	0.5	17	1	JBO
B1737-30	49239.07	0.02	169.7	0.2	JBO
B1737-30	49459	2	10	1	JBO
B1737-30	49542.3	0.1	6	1	JBO
B1737-30	50574.83	0.01	442.5	0.3	JBO
B1737-30	50939	6	1444	1	JBO
B1737-30	51685	21	0.7	0.4	JBO
B1737-30	51827	2	0.9	0.3	JBO
B1737-30	52048	9	2	3	JBO
B1737-30	52245	2	4	1	JBO
B1737-30	52266	0.2	16	1	JBO
B1737-30	52346.6	0.1	158	0.4	JBO
B1737-30	52576	3	0.9	0.2	JBO
B1737-30	52779.7	0.04	1.7	0.2	JBO
B1737-30	52858.78	0.03	18.6	0.3	JBO
B1737-30	52942.5	0.1	20.2	0.2	JBO
B1737-30	53023.52	0	1850.9	0.3	JBO
B1737-30	53473.56	1	0.8	0.2	JBO
B1737-30	54450.19	0.01	45.9	0.3	JBO
B1737-30	54695.19	0.02	3	0.2	JBO
B1737-30	54810.9	0.1	5.2	0.3	JBO
B1737-30	54928.6	0.1	2.3	0.2	JBO
B1737-30	55213	75	2663	3	JBO
B1737-30	55936.4	0.2	18.3	0.6	JBO
B1737-30	57346	0.6	1.94	0.02	JBO
B1737-30	57468.599	0.005	229.4	0.4	JBO
B1737-30	58241	8	837.9	0.7	JBO
J1737-3102	57087	2	18	1	JBO
J1737-3137	51559	2	4	1	JBO
J1737-3137	53040	12	234	1	JBO
J1737-3137	54348	4	1342.4	0.2	JBO
J1737-3137	57115	3	7	0.7	JBO
J1737-3137	58147	42	4498	1	JBO
J1737-3137	58858.8	0.2	1.53	0.07	JBO
B1740-31	49572	1	2.2	0.4	JBO
J1740+1000	54747.6	0.1	1.2	0.4	JBO
J1740+1000	56164	10	2910.9	0.4	JBO
J1746-2856	57038	1	24.4	0.4	JBO
J1751-3323	53004	6	2.3	0.3	JBO
J1751-3323	54435	8	3	1	JBO
J1751-3323	57019	1	13	1	JBO
J1751-3323	58438	3	3.4	0.8	JBO
